Frequency,Actual Temperature,Normalized Frequency,Normalized Temperature,Predicted Temperature,Error
480.7692308,152,4.3191135362850765,3.1548499522616518,151.97852620546485,0.02147379453515441
484.9660524,152,4.3607923827135835,3.1548499522616518,152.2007761257854,-0.20077612578540993
486.6180049,152,4.377198006091686,3.1548499522616518,152.2852182023408,-0.2852182023407863
485.4368932,152,4.365468326383782,3.1548499522616518,152.22502067028023,-0.2250206702802302
480.7692308,152,4.3191135362850765,3.1548499522616518,151.97852620546485,0.02147379453515441
472.3665564,152,4.2356661541265535,3.1548499522616518,151.50130723515474,0.49869276484525926
460.8294931,151,4.121090998128343,3.1247444410357264,150.77998191773918,0.22001808226082176
446.4285714,150,3.97807472029484,3.094638929809801,149.78145113237176,0.21854886762824322
430.1075269,149,3.8159896063437677,3.064533418583875,148.53289936362336,0.46710063637664234
412.2011542,147,3.6381605182893932,3.004322396132024,147.04005461783416,-0.040054617834158535
393.3910307,146,3.4513562355775087,2.9742168849060984,145.3552157289007,0.6447842710992973
374.1114852,144,3.259890099369598,2.914005862454247,143.52477143126032,0.47522856873968067
354.6099291,141,3.0662191647249597,2.8236893287764704,141.58215091914454,-0.5821509191445386
335.2329869,140,2.873785776989859,2.7935838175505445,139.56898064471972,0.43101935528028434
316.3555837,137,2.6863133361928044,2.703267283872768,137.52657354600902,-0.5265735460090184
297.8850164,135,2.5028812031843164,2.6430562614209165,135.43938860385776,-0.4393886038577648
280.033604,133,2.325597928633991,2.5828452389690657,133.31839375774527,-0.31839375774526957
262.8811777,131,2.155256320204894,2.5226342165172144,131.1563865364839,-0.15638653648389322
246.4875524,128,1.9924504026778829,2.4323176828394377,128.94261382538025,-0.9426138253802492
230.8935581,126,1.837585660836889,2.3721066603875864,126.66552471982317,-0.6655247198231677
216.1694769,123,1.6913600697525168,2.2817901267098097,124.3229129344171,-1.3229129344171042
202.1835827,121,1.552465450899254,2.2215791042579585,121.8847551963873,-0.884755196387303
188.9644747,118,1.4211858243709687,2.1312625705801818,119.35039157867787,-1.350391578677872
176.5536723,116,1.2979335214176717,2.0710515481283305,116.73048934572999,-0.7304893457299926
164.9348507,113,1.182546419629353,1.9807350144505536,114.0323229339448,-1.0323229339447977
154.0832049,111,1.0747781793032098,1.920523991998702,111.26691029929859,-0.266910299298587
143.9470275,109,0.974115291648729,1.860312969546851,108.44208445563288,0.5579155443671198
134.5351809,106,0.8806457696061287,1.769996435869074,105.58594343605036,0.41405656394964296
125.7861635,104,0.7937588376920032,1.709785413417223,102.70878399513094,1.2912160048690566
117.688596,102,0.7133414875056228,1.6495743909653717,99.83748321664028,2.1625167833597203
110.2049813,100,0.6390213334606154,1.5893633685135204,96.9909977528019,3.0090022471980973
103.2951141,97,0.5703990947001748,1.4990468348357437,94.18596921906223,2.8140307809377703
96.88983626,95,0.5067879582569969,1.4388358123838925,91.42401693444704,3.575983065552961
90.95043201,93,0.4478034358716353,1.3786247899320414,88.71545338362057,4.28454661637943
85.46278096,91,0.3933052972406812,1.3184137674801901,86.07982331132418,4.920176688675824
80.36647111,89,0.3426935877531407,1.2582027450283388,83.51195963053125,5.488040369468749
75.6429652,87,0.2957842129474465,1.1979917225764878,81.02388918263141,5.976110817368593
71.25044532,86,0.2521618770557607,1.1678862113505621,78.61301353974372,7.386986460256281
67.18624026,84,0.21180005215719963,1.1076751888987109,76.2957871860583,7.7042128139416945
63.43165239,82,0.17451305114765864,1.0474641664468598,74.07860427704294,7.921395722957058
59.95203837,80,0.13995682927488268,0.9872531439950085,71.95613915063005,8.043860849369949
56.74402769,79,0.10809791383451024,0.957147632769083,69.94000897909042,9.059991020909578
53.78946802,77,0.07875603312416768,0.8969366103172317,68.03147638336098,8.968523616639018
51.08295872,76,0.051877553116338716,0.8668310990913062,66.2386320291224,9.7613679708776
48.5932261,75,0.027151893222426827,0.8367255878653805,64.5509490503247,10.449050949675296
46.34564583,73,0.004831060497711706,0.7765145654135294,62.99514922098868,10.00485077901132
44.28894105,72,-0.015594178133922169,0.7464090541876037,61.54416938551727,10.455830614482728
42.39803273,71,-0.03437288378099217,0.7163035429616782,60.18675682153356,10.813243178466443
40.66859165,70,-0.05154805014509738,0.6861980317357526,58.92533634499513,11.07466365500487
39.05639744,69,-0.0675588319451905,0.6560925205098269,57.73206077669593,11.267939223304069
37.54176521,67,-0.08260072081409935,0.5958814980579757,56.595532083583535,10.404467916416465
36.09717359,67,-0.09694703286174217,0.5958814980579757,55.49743645147597,11.50256354852403
34.7306637,65,-0.1105179113208945,0.5356704756061246,54.445862189620776,10.554137810379224
33.4291636,64,-0.1234431742852735,0.5055649643801989,53.43259381248774,10.567406187512262
32.18538783,63,-0.1357951740246304,0.47545945315427335,52.45347346421557,10.54652653578443
31.01736973,62,-0.14739482053226757,0.44535394192834776,51.52429655854775,10.475703441452247
29.90698926,61,-0.15842206483694396,0.4152484307024221,50.63218762252086,10.36781237747914
28.86169476,60,-0.16880293709943484,0.38514291947649654,49.78448148798164,10.215518512018363
27.86679671,59,-0.17868331968180873,0.35503740825057095,48.97048287485574,10.02951712514426
26.93312505,58,-0.18795565990513124,0.32493189702464537,48.20017656744099,9.799823432559009
26.04302307,57,-0.1967953074446239,0.2948263857987197,47.46000472440905,9.539995275590947
25.20288321,56,-0.20513877865707833,0.26472087457279414,46.75614049450722,9.243859505492779
24.39976576,56,-0.21311457845342988,0.26472087457279414,46.078507262921384,9.921492737078616
23.64457475,55,-0.22061441836322704,0.23461536334686856,45.43701884788796,9.562981152112037
22.93157219,54,-0.22769528265380637,0.20450985212094294,44.827526409762065,9.172473590237935
22.25436742,53,-0.23442063729110665,0.17440434089501736,44.245162560063285,8.754837439936715
21.60994057,52,-0.24082047275601093,0.14429882966909174,43.68782918846481,8.31217081153519
21.00266734,51,-0.24685133375170185,0.11419331844316614,43.159797243586745,7.840202756413255
20.4248366,51,-0.25258979989811375,0.11419331844316614,42.65480409604939,8.34519590395061
19.88071571,50,-0.25799349182841935,0.08408780721724055,42.17697803806985,7.823021961930152
19.35771114,49,-0.2631874765225596,0.053982295991314946,41.71559028837195,7.284409711628051
18.86970469,49,-0.2680338931264178,0.053982295991314946,41.28320927754055,7.71679072245945
